month,client,product,managed,booked,revenue
2024-01,Client A,Product A,USA,CHN,481998
2024-02,Client A,Product A,USA,CHN,696056
2024-03,Client A,Product A,USA,CHN,791497
2024-04,Client A,Product A,USA,CHN,839723
2024-05,Client A,Product A,USA,CHN,868994
2024-06,Client A,Product A,USA,CHN,1021489
2024-07,Client A,Product A,USA,CHN,904476
2024-08,Client A,Product A,USA,CHN,877460
2024-09,Client A,Product A,USA,CHN,565816
2024-10,Client A,Product A,USA,CHN,598355
2024-11,Client A,Product A,USA,CHN,518827
2024-12,Client A,Product A,USA,CHN,480788
2025-01,Client A,Product A,USA,CHN,520164
2025-02,Client A,Product A,USA,CHN,774212
2025-03,Client A,Product A,USA,CHN,932730
2025-04,Client A,Product A,USA,CHN,1100580
2025-05,Client A,Product A,USA,CHN,1136544
2025-06,Client A,Product A,USA,CHN,1065766
2025-07,Client A,Product A,USA,CHN,1117667
2025-08,Client A,Product A,USA,CHN,857559
2025-09,Client A,Product A,USA,CHN,730105
2025-10,Client A,Product A,USA,CHN,502297
2025-11,Client A,Product A,USA,CHN,444411
2025-12,Client A,Product A,USA,CHN,510985
2026-01,Client A,Product A,USA,CHN,541429
2026-02,Client A,Product A,USA,CHN,727508
2026-03,Client A,Product A,USA,CHN,933317
2026-04,Client A,Product A,USA,CHN,1185113
2026-05,Client A,Product A,USA,CHN,1260495
2026-06,Client A,Product A,USA,CHN,1075638
2024-01,Client A,Product A,USA,NGA,738985
2024-02,Client A,Product A,USA,NGA,569398
2024-03,Client A,Product A,USA,NGA,632247
2024-04,Client A,Product A,USA,NGA,500643
2024-05,Client A,Product A,USA,NGA,579616
2024-06,Client A,Product A,USA,NGA,714683
2024-07,Client A,Product A,USA,NGA,705112
2024-08,Client A,Product A,USA,NGA,708301
2024-09,Client A,Product A,USA,NGA,789760
2024-10,Client A,Product A,USA,NGA,773758
2024-11,Client A,Product A,USA,NGA,914786
2024-12,Client A,Product A,USA,NGA,837563
2025-01,Client A,Product A,USA,NGA,608357
2025-02,Client A,Product A,USA,NGA,704835
2025-03,Client A,Product A,USA,NGA,568529
2025-04,Client A,Product A,USA,NGA,550826
2025-05,Client A,Product A,USA,NGA,545486
2025-06,Client A,Product A,USA,NGA,763490
2025-07,Client A,Product A,USA,NGA,651808
2025-08,Client A,Product A,USA,NGA,840562
2025-09,Client A,Product A,USA,NGA,920153
2025-10,Client A,Product A,USA,NGA,840191
2025-11,Client A,Product A,USA,NGA,914734
2025-12,Client A,Product A,USA,NGA,720808
2026-01,Client A,Product A,USA,NGA,696132
2026-02,Client A,Product A,USA,NGA,742313
2026-03,Client A,Product A,USA,NGA,616527
2026-04,Client A,Product A,USA,NGA,689426
2026-05,Client A,Product A,USA,NGA,735672
2026-06,Client A,Product A,USA,NGA,805921
2024-01,Client A,Product B,USA,NGA,924780
2024-02,Client A,Product B,USA,NGA,1040832
2024-03,Client A,Product B,USA,NGA,1013378
2024-04,Client A,Product B,USA,NGA,755787
2024-05,Client A,Product B,USA,NGA,704616
2024-06,Client A,Product B,USA,NGA,629758
2024-07,Client A,Product B,USA,NGA,524089
2024-08,Client A,Product B,USA,NGA,656452
2024-09,Client A,Product B,USA,NGA,726840
2024-10,Client A,Product B,USA,NGA,869850
2024-11,Client A,Product B,USA,NGA,896030
2024-12,Client A,Product B,USA,NGA,907080
2025-01,Client A,Product B,USA,NGA,1200683
2025-02,Client A,Product B,USA,NGA,1128764
2025-03,Client A,Product B,USA,NGA,1106284
2025-04,Client A,Product B,USA,NGA,809747
2025-05,Client A,Product B,USA,NGA,832155
2025-06,Client A,Product B,USA,NGA,617085
2025-07,Client A,Product B,USA,NGA,596269
2025-08,Client A,Product B,USA,NGA,659224
2025-09,Client A,Product B,USA,NGA,730439
2025-10,Client A,Product B,USA,NGA,909965
2025-11,Client A,Product B,USA,NGA,884733
2025-12,Client A,Product B,USA,NGA,1149575
2026-01,Client A,Product B,USA,NGA,1164414
2026-02,Client A,Product B,USA,NGA,1175731
2026-03,Client A,Product B,USA,NGA,1038541
2026-04,Client A,Product B,USA,NGA,952616
2026-05,Client A,Product B,USA,NGA,731353
2026-06,Client A,Product B,USA,NGA,755143
2024-01,Client A,Product C,USA,AUS,414512
2024-02,Client A,Product C,USA,AUS,371631
2024-03,Client A,Product C,USA,AUS,381506
2024-04,Client A,Product C,USA,AUS,307750
2024-05,Client A,Product C,USA,AUS,335290
2024-06,Client A,Product C,USA,AUS,260789
2024-07,Client A,Product C,USA,AUS,277582
2024-08,Client A,Product C,USA,AUS,328575
2024-09,Client A,Product C,USA,AUS,392336
2024-10,Client A,Product C,USA,AUS,380145
2024-11,Client A,Product C,USA,AUS,493814
2024-12,Client A,Product C,USA,AUS,502201
2025-01,Client A,Product C,USA,AUS,482674
2025-02,Client A,Product C,USA,AUS,560270
2025-03,Client A,Product C,USA,AUS,523774
2025-04,Client A,Product C,USA,AUS,463837
2025-05,Client A,Product C,USA,AUS,398087
2025-06,Client A,Product C,USA,AUS,317349
2025-07,Client A,Product C,USA,AUS,319865
2025-08,Client A,Product C,USA,AUS,347405
2025-09,Client A,Product C,USA,AUS,425381
2025-10,Client A,Product C,USA,AUS,478457
2025-11,Client A,Product C,USA,AUS,573000
2025-12,Client A,Product C,USA,AUS,512473
2026-01,Client A,Product C,USA,AUS,611874
2026-02,Client A,Product C,USA,AUS,522047
2026-03,Client A,Product C,USA,AUS,509787
2026-04,Client A,Product C,USA,AUS,541697
2026-05,Client A,Product C,USA,AUS,444912
2026-06,Client A,Product C,USA,AUS,388039
2024-01,Client A,Product C,USA,LUX,546881
2024-02,Client A,Product C,USA,LUX,532947
2024-03,Client A,Product C,USA,LUX,503185
2024-04,Client A,Product C,USA,LUX,493356
2024-05,Client A,Product C,USA,LUX,513474
2024-06,Client A,Product C,USA,LUX,664297
2024-07,Client A,Product C,USA,LUX,654104
2024-08,Client A,Product C,USA,LUX,850972
2024-09,Client A,Product C,USA,LUX,717194
2024-10,Client A,Product C,USA,LUX,647862
2024-11,Client A,Product C,USA,LUX,680742
2024-12,Client A,Product C,USA,LUX,704302
2025-01,Client A,Product C,USA,LUX,602360
2025-02,Client A,Product C,USA,LUX,534450
2025-03,Client A,Product C,USA,LUX,490922
2025-04,Client A,Product C,USA,LUX,593358
2025-05,Client A,Product C,USA,LUX,538770
2025-06,Client A,Product C,USA,LUX,632482
2025-07,Client A,Product C,USA,LUX,610946
2025-08,Client A,Product C,USA,LUX,640112
2025-09,Client A,Product C,USA,LUX,791535
2025-10,Client A,Product C,USA,LUX,770029
2025-11,Client A,Product C,USA,LUX,589537
2025-12,Client A,Product C,USA,LUX,686126
2026-01,Client A,Product C,USA,LUX,498600
2026-02,Client A,Product C,USA,LUX,463849
2026-03,Client A,Product C,USA,LUX,554675
2026-04,Client A,Product C,USA,LUX,492423
2026-05,Client A,Product C,USA,LUX,578664
2026-06,Client A,Product C,USA,LUX,685051
2024-01,Client A,Product D,USA,BRA,214689
2024-02,Client A,Product D,USA,BRA,202653
2024-03,Client A,Product D,USA,BRA,172652
2024-04,Client A,Product D,USA,BRA,197861
2024-05,Client A,Product D,USA,BRA,223133
2024-06,Client A,Product D,USA,BRA,239731
2024-07,Client A,Product D,USA,BRA,255514
2024-08,Client A,Product D,USA,BRA,237896
2024-09,Client A,Product D,USA,BRA,271639
2024-10,Client A,Product D,USA,BRA,255481
2024-11,Client A,Product D,USA,BRA,249578
