name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Agricultural Bank (CN),CN,China,2021,4279307612179,202477944458,276133439430,399386659801,56696962681011,1731088535359,333678839764,363247392204,53348353936,14213902992,72069597293,96911075886
ANZ (AU),AU,Australia,2021,704534632394,49415505865,78562509062,155302593584,34985404609997,5468126887,25176432905,6655808898456,28222820885,958693563,218852582641,104091668217
Bank of America (US),US,USA,2021,3251973600198,240050326655,140636588365,625820236553,138317398889544,3765030901923,577545470533,28449102945752,163431043598,9422567543,463312731715,528432809405
Bank of Beijing (CN),CN,China,2021,487329840523,39326134876,59881554547,76856921562,8212205888328,163427421742,3121679156,48144622925,5617237659,703382352,1791115286,7390121128
Bank of China (CN),CN,China,2021,3964258552253,329777125136,414614851309,618506413458,92523977101841,1636945706162,302264625948,1513387502079,151026146027,12941058904,613776940893,528423262362
Bank of Jiangsu (CN),CN,China,2021,414529862686,26224998985,34546819222,99881802586,6691266436343,482870139627,66146715692,69458544597,4621146126,3912046371,6250990319,7029853927
Bank of Montreal (CA),CA,Canada,2021,788691426221,98887275008,49520274173,197125782839,23145704595508,144005419346,71294711946,4020835824215,36456892931,2267137543,349809536586,328383174996
Bank of Nova Scotia (CA),CA,Canada,2021,936342326575,87784665866,61247790510,211894277390,10026591773676,249759001675,59140445139,4059025294554,50941933906,980249966,366079169849,240354058299
Bank of Shanghai (CN),CN,China,2021,423883080430,77238495763,72915353388,138228262686,9340165207899,344330319430,40717341707,311363156541,2217185290,3250147473,5903767361,10414435157
Barclays (GB),GB,United Kingdom,2021,1646442137905,219699385862,214695101577,241719426795,54846421516202,157071452332,321651116211,41162926860254,103653050590,19870757361,979639811828,671141762095
BBVA (ES),ES,Spain,2021,728167445000,70094702000,58814827000,99800285000,10335119677000,426877362000,29756000000,4587152681000,6200630000,5300976000,360321439000,264732323000
BNP Paribas (FR),FR,France,2021,2726690238418,375687497986,292700006698,322210102385,49006316270917,6941767831278,242755545487,22967826297945,81004862238,20849348913,1390589556595,1259735435957
BNY Mellon (US),US,USA,2021,422625904950,70137736174,265557125169,68559067624,206600229536958,32600211898135,20970333743,987337100365,41264347514, -   ,113407204649,165475896149
BoComm (CN),CN,China,2021,1770995305994,174231189229,212150356346,178441232993,29691875099546,1678429957112,114097711802,984690460104,97628087381,10973494389,103837090311,97227637734
BPCE (FR),FR,France,2021,1585837611343,101434816640,116456299018,311099772060,21240464225998,95002203697,56701652203,9136389962610,56693962416,24981520346,213095336371,250843311363
CaixaBank (ES),ES,Spain,2021,713352789377,18098832128,10597845027,77821542950,2267863641804,203834256000,204992316,647287706220,3082873901,1229296000,93773247000,58026841000
Capital One (US),US,USA,2021,442422408567,40960428214,4940397315,97309509083,1013768578377,6180,6201398551,174436272274,11160704572,345276355,9335158042,1053958149
Charles Schwab (US),US,USA,2021,559699275939,19705103300,3132615221,169124139130,557043969564,7157983400215, -   ,8331273176,74455235732, -   ,13007239977,5297545
China Construction (CN),CN,China,2021,4438707868575,114848350547,289290252243,353178850367,69109038267157,2470091253802,345504740925,540150511372,93187912919,21581884926,111476781128,146414689938
China Everbright (CN),CN,China,2021,953662836124,95830996527,86134688123,138029184125,13411916431227,980707827743,87782117482,261771582128,60613494718,1596730929,19950791575,29948153533
China Guangfa (CN),CN,China,2021,563975029979,32166362418,108236488776,73808137232,9805565356807,458698092876,58060323339,359050040691,23953949557, -   ,1402380194,7929039565
China Merchants (CN),CN,China,2021,1448381136695,94574970355,135457350920,296019062252,24730495720662,2727316460567,147103548530,516301089696,13146969486,10395809851,57874639607,65607511825
